@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
450,0,0,1,cluster0
451,0,0,1,cluster0
452,0,0,0,cluster0
453,1.732051,0,1,cluster0
454,0,0,0,cluster0
455,0,0,1,cluster0
456,1.732051,0,1,cluster0
457,1.732051,0,1,cluster0
458,1.732051,0,1,cluster0
459,1.732051,0,1,cluster0
460,1.732051,0,1,cluster0
461,1.732051,0,0,cluster0
462,1.732051,0,1,cluster0
463,1.732051,0,1,cluster0
464,3.464102,1.732051,0,cluster1
465,1.732051,1.732051,1,cluster1
466,0,0,1,cluster0
467,0,0,1,cluster0
468,0,0,0,cluster0
469,1.732051,0,0,cluster0
470,1.732051,1.732051,0,cluster1
471,3.464102,1.732051,1,cluster1
472,3.464102,1.732051,1,cluster1
473,0,0,1,cluster0
474,0,0,1,cluster0
475,3.464102,1.732051,0,cluster1
476,1.732051,0,1,cluster0
477,1.732051,0,1,cluster0
478,1.732051,1.732051,1,cluster1
479,0,0,1,cluster0
480,0,0,0,cluster0
481,0,0,1,cluster0
482,0,0,1,cluster0
483,1.732051,1.732051,0,cluster1
484,1.732051,1.732051,1,cluster1
485,0,0,1,cluster0
486,0,0,1,cluster0
487,1.732051,1.732051,0,cluster1
488,1.732051,1.732051,0,cluster1
489,1.732051,0,1,cluster0
490,1.732051,0,1,cluster0
491,1.732051,0,1,cluster0
492,1.732051,0,1,cluster0
493,0,0,1,cluster0
494,0,0,1,cluster0
495,1.732051,0,1,cluster0
496,1.732051,0,1,cluster0
497,0,0,1,cluster0
498,1.732051,0,1,cluster0
499,1.732051,1.732051,1,cluster1
500,0,0,1,cluster0
501,0,0,1,cluster0
502,0,0,1,cluster0
503,1.732051,0,1,cluster0
504,3.464102,1.732051,1,cluster1
505,0,0,1,cluster0
506,0,0,1,cluster0
507,0,0,1,cluster0
508,3.464102,1.732051,0,cluster1
509,0,0,1,cluster0
510,0,0,0,cluster0
511,0,0,1,cluster0
512,1.732051,0,1,cluster0
513,1.732051,0,1,cluster0
514,0,0,0,cluster0
515,0,0,1,cluster0
516,1.732051,0,1,cluster0
517,0,0,0,cluster0
518,1.732051,1.732051,0,cluster1
519,0,0,0,cluster0
520,0,0,1,cluster0
521,3.464102,1.732051,0,cluster1
522,0,0,1,cluster0
523,1.732051,0,0,cluster0
524,1.732051,0,1,cluster0
525,3.464102,1.732051,1,cluster1
526,0,0,1,cluster0
