@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
760,29,41000,1,cluster0
761,26,15000,1,cluster1
762,19,45000,1,cluster0
763,50,50000,1,cluster5
764,41,170000,1,cluster6
765,25,18000,1,cluster1
766,35,50000,0,cluster2
767,36,40000,0,cluster4
768,22,45000,0,cluster0
769,28,45000,1,cluster0
770,27,45000,0,cluster0
771,52,63000,0,cluster5
772,40,50000,1,cluster4
773,40,32000,1,cluster4
774,32,10000,1,cluster1
775,26,45000,1,cluster0
776,34,40000,1,cluster4
777,26,8191,1,cluster1
778,38,20000,1,cluster4
779,34,52000,1,cluster2
780,23,22000,1,cluster1
781,46,70000,1,cluster5
782,26,37000,1,cluster0
783,23,65000,1,cluster0
784,28,60000,1,cluster2
785,26,40000,0,cluster0
786,34,45000,1,cluster4
787,55,78000,1,cluster5
788,27,60000,1,cluster0
789,20,8000,1,cluster1
790,26,10000,1,cluster1
791,27,90000,0,cluster2
792,26,24000,0,cluster1
793,30,112000,1,cluster3
794,30,50000,1,cluster0
795,22,70000,1,cluster0
796,30,16000,1,cluster1
797,30,50000,1,cluster0
798,24,15000,0,cluster1
799,34,25000,1,cluster4
800,33,30000,1,cluster4
801,47,76500,1,cluster5
802,35,36000,1,cluster4
803,33,75000,1,cluster2
804,32,30000,1,cluster4
805,25,25000,1,cluster1
806,31,40000,1,cluster0
807,26,36000,1,cluster0
808,26,24000,1,cluster1
809,32,12000,1,cluster4
810,25,69600,1,cluster2
811,27,8000,1,cluster1
812,27,36000,1,cluster0
813,26,29000,1,cluster1
814,30,24000,0,cluster1
815,33,36000,1,cluster4
816,28,61000,1,cluster2
817,28,145000,0,cluster6
818,42,33000,1,cluster4
819,34,16000,1,cluster4
820,25,8000,1,cluster1
821,54,35000,1,cluster5
822,43,46500,1,cluster5
823,34,30000,1,cluster4
824,26,45000,1,cluster0
825,29,48000,1,cluster0
826,30,43200,1,cluster0
827,19,13000,1,cluster1
828,30,23000,1,cluster1
829,31,46000,1,cluster0
830,22,28000,1,cluster1
831,26,43000,1,cluster0
832,61,20000,1,cluster5
833,29,25000,0,cluster1
834,33,15000,1,cluster4
835,28,31000,0,cluster0
836,15,24000,0,cluster1
837,28,6545,0,cluster1
838,30,95000,1,cluster3
839,60,100000,0,cluster5
840,23,47000,1,cluster0
841,30,23000,1,cluster1
842,36,150000,1,cluster6
843,44,47500,1,cluster5
