Latitude, Aircraft.Damage, Longitude
48.17, 3, -5
42.584166, 2, -3
41.7325, 2, -4
40.875278, 2, -3
64.779167, 2, -7
62.773889, 2, -7
35.140277, 2, -5
40.238333, 2, -3
36.381667, 2, -3
41.638333, 2, -4
32.065, 2, -5
39.578056, 2, -5
30.0425, 2, -4
61.785, 2, -7
32.191666, 3, -4
29.061667, 2, -4
33.312778, 2, -4
31.057778, 2, -5
9.833333, 2, -4
26.384722, 2, -4
45.254722, 2, -6
45.323611, 2, -6
38.724167, 2, -6
47.51, 2, -4
39.664444, 2, -5
38.5725, 2, -6
32.332778, 2, -5
-34, 2, 7
32.409444, 2, -5
36.671389, 3, -6
42.946111, 2, -3
40.308056, 2, -5
43.984166, 2, -3
44.627778, 2, -4
47.366667, 2, -5
48.728334, 2, -5
35.854444, 2, -4
45.546666, 2, -4
29.083889, 2, -4
26.064167, 3, -4
40.441111, 2, -5
47.008889, 2, -5
41.971389, 2, -3
19.711389, 2, -7
26.6, 2, -4
63.788889, 2, -7
-17.485833, 3, 1
44.461667, 3, -4
26.586666, 2, -4
28, 2, 4
38.300278, 2, -6
29.273611, 2, -4
7.325, 3, -3
36.065278, 2, -5
44.365, 2, -4
46.923611, 3, -5
34.129445, 2, -5
33.468334, 2, -4
31.818611, 2, -5
32.368611, 2, -5
33.971111, 2, -5
39.798333, 3, -4
28.627778, 2, -4
34.751944, 2, -5
30.885555, 1, -4
8.076667, 3, -3
29.208611, 2, -4
37.692222, 2, -6
33.855, 2, -5
53.169445, 2, -8
43.169445, 2, -4
45.776389, 3, -6
36.210556, 2, -5
40.276667, 2, -4
34.109444, 2, -5
33.882223, 3, -5
32.15, 2, -5
31.194722, 2, -4
41.008611, 2, -3
31.431667, 2, -4
34.355833, 2, -5
29.656111, 2, -4
31.121111, 2, -4
33.2, 2, -4
28.1025, 2, -4
39.454444, 3, -5
38.776111, 2, -6
35.059167, 2, -5
43.504722, 2, -5
40.950278, 2, -4
41.596944, 2, -5
20.553611, 3, -5
43.466667, 3, -4
29.984444, 2, -4
39.767778, 2, -5
33.9425, 2, -5
37.1425, 2, -5
60.483333, 2, -7
33.173889, 2, -4
32.128889, 2, -4
30.971389, 2, -4
34.674445, 2, -4
36.585555, 2, -6
41.250556, 3, -3
28.545555, 2, -4
26.681667, 2, -3
40.783056, 2, -4
35.120834, 2, -4
33.753333, 2, -5
40.569167, 2, -4
44.589444, 2, -4
30.477778, 2, -4
36.211667, 2, -5
33.539444, 2, -5
29.441666, 2, -4
33.624167, 2, -4
40.392222, 2, -3
53.383333, 2, -8
36.338055, 2, -4
33.558889, 2, -4
34.650556, 2, -5
39.790277, 2, -4
38.604722, 3, -6
34.88, 2, -4
38.925278, 2, -4
30.580556, 2, -4
43.390277, 2, -4
32.85, 2, -5
40.936666, 2, -4
47.866389, 2, -6
40.334166, 3, -5
28.338055, 2, -4
35.147222, 3, -4
58.676945, 2, -7
26.784444, 2, -4
21.318611, 2, -7
60.766667, 2, -8
45.866667, 2, -5
59.189722, 2, -6
39.633611, 2, -4
34.668889, 2, -5
30.953333, 2, -4
41.805556, 2, -3
33.913611, 3, -5
59.248055, 2, -6
31.476667, 2, -4
35.040277, 2, -5
36.646389, 2, -3
33.564722, 3, -4
31.033333, 2, -5
33.254444, 2, -4
32.820556, 2, -3
33.047222, 3, -4
48.999444, 2, -4
32.153056, 2, -4
36.278611, 2, -3
37.756111, 2, -6
32.944166, 3, -4
29.273334, 1, -4
29.849444, 3, -4
35.406667, 2, -4
38.252222, 2, -3
41.211111, 2, -4
45.879445, 2, -5
29.806944, 2, -4
29.08, 2, -4
39.541944, 2, -4
35.691111, 2, -4
62.320556, 2, -7
31.718611, 2, -5
25.445, 2, -4
43.747777, 2, -5
39.4875, 2, -4
34.6575, 2, -5
33.98, 2, -5
46.305556, 2, -5
26.683056, 2, -4
42.703333, 2, -4
30.427778, 2, -4
32.4525, 3, -4
37.709444, 3, -6
35.82, 2, -4
48.160833, 2, -6
37.616667, 2, -4
33.173056, 2, -4
45.673056, 2, -5
42.781945, 2, -3
34.174723, 2, -5
30.639444, 2, -4
41.196111, 2, -4
39.668056, 2, -5
45.947777, 2, -4
33.386666, 2, -4
27.948889, 2, -4
25.559444, 3, -5
40.842777, 3, -3
44.650833, 2, -3
44.818889, 2, -5
39.498889, 2, -5
39.834444, 2, -3
40.365833, 2, -4
40.0425, 2, -5
39.055, 2, -3
44.628056, 2, -4
37.044166, 2, -5
41.415833, 3, -3
44.912222, 2, -5
60.633889, 2, -7
61.2, 3, -7
40.947222, 2, -3
46.920556, 2, -4
38.434722, 3, -4
33.45, 3, -5
39.908889, 2, -5
40.214167, 3, -5
42.085277, 2, -5
-33.9, 2, 7
36.475, 3, -4
34.654444, 2, -5
33.303889, 2, -4
34.359722, 2, -4
31.780556, 3, -4
39.526111, 2, -5
38.739722, 1, -5
35.608056, 2, -4
35.868611, 2, -4
34.276945, 2, -4
35.908889, 2, -4
48, 2, -6
34.173056, 2, -4
30.9, 2, -4
42.781389, 2, -3
39, 2, 4
40.745, 2, -3
33.855278, 2, -5
33.611944, 2, -4
44.641944, 2, -4
61.213611, 2, -7
29.950833, 2, -4
43.9075, 2, 0
39.221389, 2, -5
27.616945, 2, -4
32.565, 2, -4
39.4175, 2, -3
34.026389, 2, -4
61.638611, 2, -7
35.603333, 2, -4
-14.331667, 2, -8
32.313889, 2, -4
40.352222, 2, -3
32.113333, 2, -5
30.4, 2, -4
61.323889, 2, -7
42.112778, 2, -4
61.096666, 2, -8
33.579167, 2, -5
35.768889, 2, -5
41.028334, 2, -4
26.175834, 2, -4
33.6, 2, -5
35.059444, 2, -4
38.954722, 2, -6
56.608333, 2, 4
42.009444, 2, -5
61.672778, 2, -7
63.031111, 2, -8
35.95, 3, -5
38.375834, 2, -4
41.871389, 2, -3
45.629723, 2, -5
62.320556, 2, -7
36.559167, 2, -4
33.488333, 3, -5
33.629167, 2, -4
41.195833, 2, -5
38.529445, 2, -3
39.56, 2, -3
47.6, 3, 0
45.648611, 2, 0
42.880834, 3, -4
61.420556, 3, -7
33.434722, 2, -5
32.955, 2, -4
39.923056, 2, -3
70.344166, 2, -7
47.81, 2, -4
38.116667, 2, -4
28.951389, 2, -4
40.279723, 2, -4
38.184166, 2, -4
33.298889, 2, -5
44.778889, 2, -3
35.259444, 3, -5
64.033333, 2, -7
26.0725, 1, -4
34.571111, 2, -5
36.308333, 2, -4
28.253611, 2, -4
40.1525, 2, -3
35.990277, 2, -5
-16.151389, 3, -3
